Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801902001,2,BARCELONA,2023-01-01 00:00:00,Domestic,516,6246
801902001,2,BARCELONA,2023-01-02 00:00:00,Domestic,516,6300
801902001,2,BARCELONA,2023-01-03 00:00:00,Domestic,516,6209
801902001,2,BARCELONA,2023-01-04 00:00:00,Domestic,516,6174
801902001,2,BARCELONA,2023-01-05 00:00:00,Domestic,516,6760
801902001,2,BARCELONA,2023-01-06 00:00:00,Domestic,516,6398
801902001,2,BARCELONA,2023-01-07 00:00:00,Domestic,516,7078
801902001,2,BARCELONA,2023-01-08 00:00:00,Domestic,516,7840
801902001,2,BARCELONA,2023-01-09 00:00:00,Domestic,516,7013
801902001,2,BARCELONA,2023-01-10 00:00:00,Domestic,516,7077
801902001,2,BARCELONA,2023-01-11 00:00:00,Domestic,516,6758
801902001,2,BARCELONA,2023-01-12 00:00:00,Domestic,516,6545
801902001,2,BARCELONA,2023-01-13 00:00:00,Domestic,516,6911
801902001,2,BARCELONA,2023-01-14 00:00:00,Domestic,516,7012
801902001,2,BARCELONA,2023-01-15 00:00:00,Domestic,516,7476
801902001,2,BARCELONA,2023-01-16 00:00:00,Domestic,516,6942
801902001,2,BARCELONA,2023-01-17 00:00:00,Domestic,516,6828
801902001,2,BARCELONA,2023-01-18 00:00:00,Domestic,524,7191
801902001,2,BARCELONA,2023-01-19 00:00:00,Domestic,524,6880
801902001,2,BARCELONA,2023-01-20 00:00:00,Domestic,525,6553
801902001,2,BARCELONA,2023-01-21 00:00:00,Domestic,525,6624
801902001,2,BARCELONA,2023-01-22 00:00:00,Domestic,525,6892
801902001,2,BARCELONA,2023-01-23 00:00:00,Domestic,525,7112
801902001,2,BARCELONA,2023-01-24 00:00:00,Domestic,525,6824
801902001,2,BARCELONA,2023-01-25 00:00:00,Domestic,525,6654
801902001,2,BARCELONA,2023-01-26 00:00:00,Domestic,525,6750
801902001,2,BARCELONA,2023-01-27 00:00:00,Domestic,525,6699
801902001,2,BARCELONA,2023-01-28 00:00:00,Domestic,525,6708
801902001,2,BARCELONA,2023-01-29 00:00:00,Domestic,525,7021
801902001,2,BARCELONA,2023-01-30 00:00:00,Domestic,525,7279
801902001,2,BARCELONA,2023-01-31 00:00:00,Domestic,525,7101
801902001,2,BARCELONA,2023-02-01 00:00:00,Domestic,525,6839
801902001,2,BARCELONA,2023-02-02 00:00:00,Domestic,525,6640
801902001,2,BARCELONA,2023-02-03 00:00:00,Domestic,525,6469
801902001,2,BARCELONA,2023-02-04 00:00:00,Domestic,525,6376
801902001,2,BARCELONA,2023-02-05 00:00:00,Domestic,525,7017
801902001,2,BARCELONA,2023-02-06 00:00:00,Domestic,603,6786
801902001,2,BARCELONA,2023-02-07 00:00:00,Domestic,603,6816
801902001,2,BARCELONA,2023-02-08 00:00:00,Domestic,603,7017
801902001,2,BARCELONA,2023-02-09 00:00:00,Domestic,603,6932
801902001,2,BARCELONA,2023-02-10 00:00:00,Domestic,605,6749
