Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801904005,4,BARCELONA,2023-01-01 00:00:00,Industrial,3,171
801904005,4,BARCELONA,2023-01-02 00:00:00,Industrial,3,254
801904005,4,BARCELONA,2023-01-03 00:00:00,Industrial,3,278
801904005,4,BARCELONA,2023-01-04 00:00:00,Industrial,3,254
801904005,4,BARCELONA,2023-01-05 00:00:00,Industrial,3,362
801904005,4,BARCELONA,2023-01-06 00:00:00,Industrial,3,294
801904005,4,BARCELONA,2023-01-07 00:00:00,Industrial,3,315
801904005,4,BARCELONA,2023-01-08 00:00:00,Industrial,3,253
801904005,4,BARCELONA,2023-01-09 00:00:00,Industrial,3,227
801904005,4,BARCELONA,2023-01-10 00:00:00,Industrial,3,239
801904005,4,BARCELONA,2023-01-11 00:00:00,Industrial,3,280
801904005,4,BARCELONA,2023-01-12 00:00:00,Industrial,3,319
801904005,4,BARCELONA,2023-01-13 00:00:00,Industrial,3,317
801904005,4,BARCELONA,2023-01-14 00:00:00,Industrial,3,416
801904005,4,BARCELONA,2023-01-15 00:00:00,Industrial,3,281
801904005,4,BARCELONA,2023-01-16 00:00:00,Industrial,3,165
801904005,4,BARCELONA,2023-01-17 00:00:00,Industrial,3,192
801904005,4,BARCELONA,2023-01-18 00:00:00,Industrial,3,180
801904005,4,BARCELONA,2023-01-19 00:00:00,Industrial,3,227
801904005,4,BARCELONA,2023-01-20 00:00:00,Industrial,3,288
801904005,4,BARCELONA,2023-01-21 00:00:00,Industrial,3,304
801904005,4,BARCELONA,2023-01-22 00:00:00,Industrial,3,311
801904005,4,BARCELONA,2023-01-23 00:00:00,Industrial,3,173
801904005,4,BARCELONA,2023-01-24 00:00:00,Industrial,3,155
801904005,4,BARCELONA,2023-01-25 00:00:00,Industrial,3,253
801904005,4,BARCELONA,2023-01-26 00:00:00,Industrial,3,241
801904005,4,BARCELONA,2023-01-27 00:00:00,Industrial,3,256
801904005,4,BARCELONA,2023-01-28 00:00:00,Industrial,3,327
801904005,4,BARCELONA,2023-01-29 00:00:00,Industrial,3,280
801904005,4,BARCELONA,2023-01-30 00:00:00,Industrial,3,188
801904005,4,BARCELONA,2023-01-31 00:00:00,Industrial,3,222
801904005,4,BARCELONA,2023-02-01 00:00:00,Industrial,3,256
801904005,4,BARCELONA,2023-02-02 00:00:00,Industrial,3,268
801904005,4,BARCELONA,2023-02-03 00:00:00,Industrial,3,321
801904005,4,BARCELONA,2023-02-04 00:00:00,Industrial,3,371
801904005,4,BARCELONA,2023-02-05 00:00:00,Industrial,3,381
801904005,4,BARCELONA,2023-02-06 00:00:00,Industrial,3,235
801904005,4,BARCELONA,2023-02-07 00:00:00,Industrial,3,184
801904005,4,BARCELONA,2023-02-08 00:00:00,Industrial,3,208
801904005,4,BARCELONA,2023-02-09 00:00:00,Industrial,3,213
801904005,4,BARCELONA,2023-02-10 00:00:00,Industrial,3,287
801904005,4,BARCELONA,2023-02-11 00:00:00,Industrial,3,358
801904005,4,BARCELONA,2023-02-12 00:00:00,Industrial,3,303
801904005,4,BARCELONA,2023-02-13 00:00:00,Industrial,3,229
801904005,4,BARCELONA,2023-02-14 00:00:00,Industrial,3,246
801904005,4,BARCELONA,2023-02-15 00:00:00,Industrial,3,245
801904005,4,BARCELONA,2023-02-16 00:00:00,Industrial,3,286
801904005,4,BARCELONA,2023-02-17 00:00:00,Industrial,3,299
801904005,4,BARCELONA,2023-02-18 00:00:00,Industrial,3,331
801904005,4,BARCELONA,2023-02-19 00:00:00,Industrial,3,241
801904005,4,BARCELONA,2023-02-20 00:00:00,Industrial,3,275
801904005,4,BARCELONA,2023-02-21 00:00:00,Industrial,3,243
801904005,4,BARCELONA,2023-02-22 00:00:00,Industrial,3,231
801904005,4,BARCELONA,2023-02-23 00:00:00,Industrial,3,275
801904005,4,BARCELONA,2023-02-24 00:00:00,Industrial,3,289
801904005,4,BARCELONA,2023-02-25 00:00:00,Industrial,3,307
801904005,4,BARCELONA,2023-02-26 00:00:00,Industrial,3,298
801904005,4,BARCELONA,2023-02-27 00:00:00,Industrial,3,152
801904005,4,BARCELONA,2023-02-28 00:00:00,Industrial,3,355
801904005,4,BARCELONA,2023-03-01 00:00:00,Industrial,3,236
801904005,4,BARCELONA,2023-03-02 00:00:00,Industrial,3,214
801904005,4,BARCELONA,2023-03-03 00:00:00,Industrial,3,355
801904005,4,BARCELONA,2023-03-04 00:00:00,Industrial,3,318
801904005,4,BARCELONA,2023-03-05 00:00:00,Industrial,3,310
801904005,4,BARCELONA,2023-03-06 00:00:00,Industrial,3,294
801904005,4,BARCELONA,2023-03-07 00:00:00,Industrial,3,300
801904005,4,BARCELONA,2023-03-08 00:00:00,Industrial,3,272
801904005,4,BARCELONA,2023-03-09 00:00:00,Industrial,3,299
801904005,4,BARCELONA,2023-03-10 00:00:00,Industrial,3,362
801904005,4,BARCELONA,2023-03-11 00:00:00,Industrial,3,261
801904005,4,BARCELONA,2023-03-12 00:00:00,Industrial,3,385
801904005,4,BARCELONA,2023-03-13 00:00:00,Industrial,3,302
801904005,4,BARCELONA,2023-03-14 00:00:00,Industrial,3,385
801904005,4,BARCELONA,2023-03-15 00:00:00,Industrial,3,319
801904005,4,BARCELONA,2023-03-16 00:00:00,Industrial,3,251
801904005,4,BARCELONA,2023-03-17 00:00:00,Industrial,3,335
801904005,4,BARCELONA,2023-03-18 00:00:00,Industrial,3,360
801904005,4,BARCELONA,2023-03-19 00:00:00,Industrial,3,265
801904005,4,BARCELONA,2023-03-20 00:00:00,Industrial,3,456
801904005,4,BARCELONA,2023-03-21 00:00:00,Industrial,3,309
801904005,4,BARCELONA,2023-03-22 00:00:00,Industrial,3,360
801904005,4,BARCELONA,2023-03-23 00:00:00,Industrial,3,350
801904005,4,BARCELONA,2023-03-24 00:00:00,Industrial,3,373
801904005,4,BARCELONA,2023-03-25 00:00:00,Industrial,3,368
801904005,4,BARCELONA,2023-03-26 00:00:00,Industrial,3,309
801904005,4,BARCELONA,2023-03-27 00:00:00,Industrial,3,268
801904005,4,BARCELONA,2023-03-28 00:00:00,Industrial,3,227
801904005,4,BARCELONA,2023-03-29 00:00:00,Industrial,3,234
801904005,4,BARCELONA,2023-03-30 00:00:00,Industrial,3,278
801904005,4,BARCELONA,2023-03-31 00:00:00,Industrial,3,373
801904005,4,BARCELONA,2023-04-01 00:00:00,Industrial,3,322
801904005,4,BARCELONA,2023-04-02 00:00:00,Industrial,3,330
801904005,4,BARCELONA,2023-04-03 00:00:00,Industrial,3,241
801904005,4,BARCELONA,2023-04-04 00:00:00,Industrial,3,277
801904005,4,BARCELONA,2023-04-05 00:00:00,Industrial,3,265
