Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801908001,8,BARCELONA,2023-01-01 00:00:00,Commercial,37,3690
801908001,8,BARCELONA,2023-01-02 00:00:00,Commercial,37,4374
801908001,8,BARCELONA,2023-01-03 00:00:00,Commercial,37,3719
801908001,8,BARCELONA,2023-01-04 00:00:00,Commercial,37,5419
801908001,8,BARCELONA,2023-01-05 00:00:00,Commercial,37,4253
801908001,8,BARCELONA,2023-01-06 00:00:00,Commercial,37,3990
801908001,8,BARCELONA,2023-01-07 00:00:00,Commercial,37,4037
801908001,8,BARCELONA,2023-01-08 00:00:00,Commercial,37,3552
801908001,8,BARCELONA,2023-01-09 00:00:00,Commercial,37,5205
801908001,8,BARCELONA,2023-01-10 00:00:00,Commercial,37,4462
801908001,8,BARCELONA,2023-01-11 00:00:00,Commercial,37,5375
801908001,8,BARCELONA,2023-01-12 00:00:00,Commercial,37,5452
801908001,8,BARCELONA,2023-01-13 00:00:00,Commercial,37,7334
801908001,8,BARCELONA,2023-01-14 00:00:00,Commercial,37,6745
801908001,8,BARCELONA,2023-01-15 00:00:00,Commercial,37,7800
801908001,8,BARCELONA,2023-01-16 00:00:00,Commercial,37,6937
801908001,8,BARCELONA,2023-01-17 00:00:00,Commercial,37,4560
801908001,8,BARCELONA,2023-01-18 00:00:00,Commercial,37,4973
801908001,8,BARCELONA,2023-01-19 00:00:00,Commercial,37,4777
801908001,8,BARCELONA,2023-01-20 00:00:00,Commercial,37,5675
801908001,8,BARCELONA,2023-01-21 00:00:00,Commercial,37,5299
801908001,8,BARCELONA,2023-01-22 00:00:00,Commercial,37,3449
801908001,8,BARCELONA,2023-01-23 00:00:00,Commercial,37,5964
801908001,8,BARCELONA,2023-01-24 00:00:00,Commercial,36,4308
801908001,8,BARCELONA,2023-01-25 00:00:00,Commercial,36,5135
801908001,8,BARCELONA,2023-01-26 00:00:00,Commercial,36,4905
801908001,8,BARCELONA,2023-01-27 00:00:00,Commercial,36,6151
801908001,8,BARCELONA,2023-01-28 00:00:00,Commercial,36,6138
801908001,8,BARCELONA,2023-01-29 00:00:00,Commercial,36,5388
801908001,8,BARCELONA,2023-01-30 00:00:00,Commercial,36,4305
801908001,8,BARCELONA,2023-01-31 00:00:00,Commercial,36,3565
