date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,11,8.6,15.9,0,,,10,27.8,1025.8,267
2023-01-02 00:00:00,10.7,7,15,0,,,14.1,31.5,1024.6,178
2023-01-03 00:00:00,12.4,8.2,17.6,0,,,12.1,24.1,1029.2,230
2023-01-04 00:00:00,10.3,7.5,16.1,0,,,14.8,29.6,1032.6,451
2023-01-05 00:00:00,9.5,5.7,15.6,0,,,15.6,31.5,1028.8,480
2023-01-06 00:00:00,8.6,4.3,15.4,0,,,12.5,29.6,1025,483
2023-01-07 00:00:00,9.7,4.8,16.6,0,,,15.9,33.3,1021.1,465
2023-01-08 00:00:00,12.7,9.1,15.8,0,,,13.1,33.3,1013.4,121
2023-01-09 00:00:00,14.1,10.9,17.3,0,,,17.4,40.8,1016.3,439
2023-01-10 00:00:00,9.9,6.1,15.2,0,,,12.2,29.6,1026.5,380
2023-01-11 00:00:00,10.1,6.2,15.2,0,,,15.9,24.1,1024.7,259
2023-01-12 00:00:00,9.9,6.5,14.7,0,,,16.2,29.6,1027.3,435
2023-01-13 00:00:00,9.8,6.3,15.7,0,,,11.6,29.6,1025.5,342
2023-01-14 00:00:00,10.2,5,16,0,,,20.1,33.3,1024.6,385
2023-01-15 00:00:00,12.3,8.5,16.7,0,,,13.8,31.5,1017.1,271
2023-01-16 00:00:00,11.3,6.8,16.6,0,,,17.6,46.3,1007.4,253
2023-01-17 00:00:00,13.4,7.4,17.2,0.8,,,38.6,59.3,992.9,418
2023-01-18 00:00:00,8.9,6.2,13,0,,,21.8,40.8,1000.6,365
2023-01-19 00:00:00,8.3,4.3,12.2,0,,,23.7,40.8,1010.8,386
2023-01-20 00:00:00,9.2,4.1,14.2,0,,,13,31.5,1013.3,439
2023-01-21 00:00:00,6.1,0.4,12,0,,,18.1,38.9,1017.8,480
2023-01-22 00:00:00,4.6,-0.8,10.4,0.1,,,13.6,25.9,1020,445
2023-01-23 00:00:00,5.1,0.1,10,0,,,13.4,25.9,1020.8,375
2023-01-24 00:00:00,4.9,3,6.2,0.6,,,19.1,27.8,1025.2,107
2023-01-25 00:00:00,7.9,4.1,14.3,0,,,20.7,29.6,1023.5,455
2023-01-26 00:00:00,5.4,1.5,10.6,0,,,14.4,27.8,1016.3,414
2023-01-27 00:00:00,6,2.5,10.7,0,,,16.4,29.6,1013.6,309
2023-01-28 00:00:00,5.6,2,9.8,0,,,16.6,29.6,1018.3,232
2023-01-29 00:00:00,6.6,3.7,10.8,0,,,12.2,25.9,1025.1,466
2023-01-30 00:00:00,6.3,1.8,13.5,0,,,16.9,27.8,1027.1,498
2023-01-31 00:00:00,7.3,3.7,12.4,0,,,15,31.5,1027,534
2023-02-01 00:00:00,7.4,2.9,13.7,0,,,15.8,31.5,1028.1,514
2023-02-02 00:00:00,8.9,4.1,15.6,0,,,17.6,33.3,1028.6,543
2023-02-03 00:00:00,8.9,4.1,14.9,0,,,16.7,31.5,1030.3,542
2023-02-04 00:00:00,11.9,5.5,20.9,0,,,19.1,27.8,1026.7,548
2023-02-05 00:00:00,9.9,6.5,15.6,0.8,,,17.8,35.2,1030,545
2023-02-06 00:00:00,8.8,6.3,11.6,0.2,,,25.7,50,1027.2,190
2023-02-07 00:00:00,9.8,7.5,11.8,11.4,,,35.2,59.3,1024.5,31
2023-02-08 00:00:00,9.3,7.7,10.8,0.6,,,33,46.3,1028.6,191
2023-02-09 00:00:00,8.8,6,11.4,0,,,18.2,31.5,1032.9,357
2023-02-10 00:00:00,7.6,3.5,12.7,0,,,12.8,29.6,1037.2,482
2023-02-11 00:00:00,6.7,2,12.6,0,,,14.1,31.5,1035.6,565
2023-02-12 00:00:00,6.8,1.8,12.6,0,,,16.3,33.3,1034.5,560
2023-02-13 00:00:00,7.6,2.5,13.1,0,,,15.4,31.5,1035.6,551
2023-02-14 00:00:00,8.3,3.8,13.2,0,,,15.7,31.5,1034.1,514
2023-02-15 00:00:00,9.2,4.5,14.5,0,,,10.4,27.8,1030.3,278
2023-02-16 00:00:00,8.6,4.9,14.5,0,,,12.9,29.6,1031,246
2023-02-17 00:00:00,9.6,4.7,15.9,0,,,14.6,27.8,1032.2,593
2023-02-18 00:00:00,10.8,6,15.5,0,,,16.4,29.6,1030.5,596
2023-02-19 00:00:00,10.7,6.6,15.8,0,,,10.3,25.9,1027.5,505
2023-02-20 00:00:00,11.4,7.7,16.5,0,,,13.4,24.1,1026,579
2023-02-21 00:00:00,11.2,7.1,15.5,0,,,13,27.8,1020.7,384
2023-02-22 00:00:00,11.9,8.9,14.9,0,,,10.8,22.2,1017.5,385
2023-02-23 00:00:00,11.3,8.7,13.7,7.4,,,11.5,29.6,1012.2,96
2023-02-24 00:00:00,9.9,7.1,13.4,0,,,17.8,29.6,1008.3,359
2023-02-25 00:00:00,9.2,5.9,15,0,,,14.2,25.9,1004.1,234
2023-02-26 00:00:00,8.5,3.1,12.9,23.3,,,13.8,27.8,1002.6,315
2023-02-27 00:00:00,4.8,1.4,8.9,0.4,,,12.1,27.8,1009.9,153
2023-02-28 00:00:00,8,4.4,13.8,0,,,19.7,31.5,1013.7,180
2023-03-01 00:00:00,6.2,1.7,10.5,0,,,18.8,31.5,1016.1,593
2023-03-02 00:00:00,7.4,3.8,12.9,0,,,15.2,27.8,1016.3,211
2023-03-03 00:00:00,9.2,3.1,12.7,0,,,15.2,27.8,1017.9,546
2023-03-04 00:00:00,8.7,4.9,13.3,0,,,17.9,29.6,1020.1,624
2023-03-05 00:00:00,8.9,3.5,14.4,0,,,17.8,35.2,1015.6,622
2023-03-06 00:00:00,10.4,6.7,14.1,0,,,13,25.9,1010,369
2023-03-07 00:00:00,11.2,5.8,17,0,,,17.1,35.2,1007.5,387
2023-03-08 00:00:00,14.5,8.8,21.7,0,,,17.2,42.6,1008.9,349
2023-03-09 00:00:00,15.9,13.2,21.7,1.4,,,19.8,38.9,1009.6,244
2023-03-10 00:00:00,18.3,12.9,24.4,0,,,24,44.5,1011.9,442
2023-03-11 00:00:00,20.2,14.6,26.6,0,,,32.1,38.9,1011.6,374
2023-03-12 00:00:00,15.2,11.8,18.1,0,,,11.2,29.6,1017.9,433
2023-03-13 00:00:00,14.6,11.7,20.5,0,,,12.4,29.6,1013.8,381
2023-03-14 00:00:00,17.3,11.4,22.4,0,,,26,42.6,1013.1,511
2023-03-15 00:00:00,12.7,9.1,17.2,0,,,11.3,25.9,1018.3,451
2023-03-16 00:00:00,12.6,8.3,16.7,0,,,11.5,24.1,1017.1,626
2023-03-17 00:00:00,14.1,12,16.7,0,,,17.8,37,1016.2,299
2023-03-18 00:00:00,13.7,10.8,16.9,0,,,13.4,25.9,1014.6,268
2023-03-19 00:00:00,13.6,10.5,17,0,,,10.3,25.9,1020.2,463
2023-03-20 00:00:00,12.7,8.9,16.3,0,,,9.9,20.4,1021.2,544
2023-03-21 00:00:00,13.3,9.7,16.6,0,,,11.5,25.9,1018.7,374
2023-03-22 00:00:00,13.1,9.4,17,0,,,18.4,35.2,1016.5,544
2023-03-23 00:00:00,14.2,12.2,17.3,0,,,17,31.5,1015.5,425
2023-03-24 00:00:00,15,10.6,22.8,0,,,14.3,35.2,1015.6,439
2023-03-25 00:00:00,13.9,9.7,17.5,0,,,13.2,31.5,1021.1,536
2023-03-26 00:00:00,18.1,11,26.1,0,,,23.5,40.8,1014.5,556
2023-03-27 00:00:00,14.8,11.8,18.3,0,,,16,38.9,1019.3,654
2023-03-28 00:00:00,14.2,12.5,16.7,0,,,14.8,29.6,1025.5,433
2023-03-29 00:00:00,14.5,11.4,18,0,,,25.8,40.8,1024.4,609
2023-03-30 00:00:00,14.2,10.8,17.3,0,,,12.8,31.5,1021,543
2023-03-31 00:00:00,16.9,12,26,0,,,17.3,35.2,1015.8,356
2023-04-01 00:00:00,15.8,11,23.6,0.6,,,19.2,31.5,1015.6,397
2023-04-02 00:00:00,14.1,8.3,21,0.1,,,20.2,33.3,1015.2,626
2023-04-03 00:00:00,12.9,9.8,16.5,0,,,11.3,27.8,1016.2,589
2023-04-04 00:00:00,12,8,15.6,0,,,14.8,31.5,1014.9,534
2023-04-05 00:00:00,12.2,7.5,16.9,0,,,14.1,25.9,1018.6,708
2023-04-06 00:00:00,12.7,8.8,17.1,0,,,15.3,29.6,1019.9,519
2023-04-07 00:00:00,13.1,8.7,17.4,0,,,21.4,35.2,1017.4,707
2023-04-08 00:00:00,13.1,9.5,16.5,0,,,14.1,35.2,1018,654
2023-04-09 00:00:00,13.5,9.5,17.5,0,,,17.9,29.6,1020.3,545
2023-04-10 00:00:00,14.4,11.2,18.2,0,,,10,24.1,1021.6,455
2023-04-11 00:00:00,14.5,10.9,18,0,,,17.9,31.5,1020.8,554
2023-04-12 00:00:00,15.2,11,20.4,0,,,17.8,37,1010.6,602
2023-04-13 00:00:00,15.9,11.2,21.8,0,,,19.5,38.9,1012.2,616
2023-04-14 00:00:00,14.7,9.8,19.5,0,,,19.3,40.8,1012.7,439
2023-04-15 00:00:00,15.4,10.3,19.8,0,,,16.1,27.8,1013.1,589
2023-04-16 00:00:00,14.2,10,19.4,0,,,12.8,29.6,1017.7,689
2023-04-17 00:00:00,13.7,9,19,0,,,12.1,25.9,1016.3,576
2023-04-18 00:00:00,14.9,11.6,18.4,0,,,9.7,27.8,1015.6,551
2023-04-19 00:00:00,14.3,10,18.5,0,,,13.9,25.9,1015.5,708
2023-04-20 00:00:00,14.7,10.2,18.9,0,,,16.7,35.2,1010.1,679
2023-04-21 00:00:00,16.3,13.8,19.7,0,,,10.8,29.6,1009.3,456
2023-04-22 00:00:00,16,12.7,20.3,0,,,13.8,27.8,1011.8,358
2023-04-23 00:00:00,17.1,15.1,20,0.3,,,21.7,37,1012.8,579
2023-04-24 00:00:00,16.4,14.1,19.5,0,,,12.8,27.8,1015.7,498
2023-04-25 00:00:00,16.7,14.3,19.8,0,,,12.9,31.5,1014.3,412
2023-04-26 00:00:00,16.9,14.4,19.7,0,,,12.1,27.8,1016.5,446
2023-04-27 00:00:00,17.8,14.1,22.7,0,,,12.4,27.8,1016.9,467
2023-04-28 00:00:00,18.3,14.4,22.4,0,,,9.8,24.1,1017.2,459
2023-04-29 00:00:00,18.3,15.3,21.3,3.5,,,12.1,27.8,1013.5,477
2023-04-30 00:00:00,19,16.6,22.3,0.1,,,12.8,27.8,1014.9,493
2023-05-01 00:00:00,17.9,15.2,21.3,0,,,11.8,27.8,1016.6,415
2023-05-02 00:00:00,17.4,13.5,21.8,0,,,14.8,31.5,1017.8,720
2023-05-03 00:00:00,17.7,14.1,20.9,0,,,15.2,29.6,1018.1,689
2023-05-04 00:00:00,18.1,14.7,21.3,0,,,13.2,27.8,1019.5,627
2023-05-05 00:00:00,18.2,14.5,22,0,,,14.8,29.6,1018.6,595
2023-05-06 00:00:00,18.2,15,21.7,0,,,10.5,24.1,1016,617
2023-05-07 00:00:00,19.1,17.6,21.3,0,,,12.8,25.9,1017.8,438
2023-05-08 00:00:00,19.2,16.4,23.1,0,,,11.5,24.1,1020.2,634
2023-05-09 00:00:00,19.1,15.8,22.5,0.1,,,15.6,31.5,1018.1,402
2023-05-10 00:00:00,18.4,16.5,21.3,0,,,15.2,33.3,1017.7,599
2023-05-11 00:00:00,16.7,14.4,19.4,0,,,15.6,35.2,1016.3,441
2023-05-12 00:00:00,14.9,11.6,19,0.4,,,14.3,31.5,1015.1,324
2023-05-13 00:00:00,14.7,10.8,20.2,1.6,,,14,24.1,1016.6,444
2023-05-14 00:00:00,15.6,11.8,19.9,5.7,,,13.5,24.1,1016.2,618
2023-05-15 00:00:00,17.8,14,23,0.1,,,13.1,29.6,1013.2,602
2023-05-16 00:00:00,17.4,13.8,21.9,0,,,15.5,27.8,1011.4,555
2023-05-17 00:00:00,16.7,12,20.6,0,,,16.6,27.8,1014.6,710
2023-05-18 00:00:00,16.4,13.1,20.1,0,,,11.5,29.6,1017.1,529
2023-05-19 00:00:00,16.5,14.3,21.2,2.8,,,9.9,25.9,1016.4,477
2023-05-20 00:00:00,16.9,13.7,22.3,0,,,13.6,25.9,1013.1,360
2023-05-21 00:00:00,16.7,13,20.1,0,,,11.3,24.1,1012.6,334
2023-05-22 00:00:00,18.7,16.6,23.1,0,,,14.4,29.6,1013,383
2023-05-23 00:00:00,18.6,15.3,23.5,0,,,13.7,29.6,1013.7,510
2023-05-24 00:00:00,19.7,15.8,25.1,0.7,,,11.1,24.1,1014.1,566
2023-05-25 00:00:00,16.7,15.3,18.4,8.8,,,13.5,29.6,1016.2,137
2023-05-26 00:00:00,17.4,14.1,20.6,0,,,12.8,25.9,1020,733
2023-05-27 00:00:00,19.9,16.2,24.5,0,,,12.8,25.9,1017.3,788
2023-05-28 00:00:00,19.8,16.6,23.6,0,,,18.1,33.3,1013.6,673
2023-05-29 00:00:00,19.5,17.4,23,0,,,11.6,22.2,1013,619
2023-05-30 00:00:00,19.8,16.7,23.2,0,,,11.4,24.1,1015.1,608
2023-05-31 00:00:00,20.4,17.4,25.3,2.7,,,14.4,25.9,1014.6,511
2023-06-01 00:00:00,20,17.7,22.8,0,,,12.6,27.8,1014.9,435
2023-06-02 00:00:00,19.4,16.2,22.8,0,,,12.3,24.1,1013.8,638
2023-06-03 00:00:00,20,17,23.2,0,,,9.5,24.1,1014.2,514
2023-06-04 00:00:00,20.1,16.8,23.4,0,,,10.8,25.9,1015,616
2023-06-05 00:00:00,20.7,17.3,24.2,0,,,13,25.9,1015.4,673
2023-06-06 00:00:00,21.6,18.1,25,0,,,16.2,33.3,1015.3,671
2023-06-07 00:00:00,21.2,18.6,24.6,0,,,11,25.9,1015.1,440
2023-06-08 00:00:00,21.9,19.1,25,0,,,11.9,24.1,1012.5,503
2023-06-09 00:00:00,22.7,21.1,25.9,0,,,14.8,35.2,1010,488
2023-06-10 00:00:00,22.8,20.2,25.5,0,,,11.8,25.9,1012.4,660
2023-06-11 00:00:00,23.8,20.9,28.9,1.3,,,12.8,24.1,1013.5,577
2023-06-12 00:00:00,23.2,19.8,27.7,0,,,12.2,25.9,1011.7,663
2023-06-13 00:00:00,22.7,19.8,27,0,,,13.8,25.9,1008.4,460
2023-06-14 00:00:00,22.2,18.4,26.8,0,,,17.6,29.6,1011,592
2023-06-15 00:00:00,23.2,20.1,27.2,0,,,12.6,25.9,1016.2,754
