Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801901001,1,BARCELONA,2023-01-01,Industrial/Industrial/Industrial,20,490360
801901001,1,BARCELONA,2023-01-02,Industrial/Industrial/Industrial,20,491441
801901001,1,BARCELONA,2023-01-03,Industrial/Industrial/Industrial,20,420096
801901001,1,BARCELONA,2023-01-04,Industrial/Industrial/Industrial,20,501075
801901001,1,BARCELONA,2023-01-05,Industrial/Industrial/Industrial,20,581206
801901001,1,BARCELONA,2023-01-06,Industrial/Industrial/Industrial,20,361884
801901001,1,BARCELONA,2023-01-07,Industrial/Industrial/Industrial,20,314618
801901001,1,BARCELONA,2023-01-08,Industrial/Industrial/Industrial,20,380468
801901001,1,BARCELONA,2023-01-09,Industrial/Industrial/Industrial,20,454371
801901001,1,BARCELONA,2023-01-10,Industrial/Industrial/Industrial,20,344428
801901001,1,BARCELONA,2023-01-11,Industrial/Industrial/Industrial,20,334602
801901001,1,BARCELONA,2023-01-12,Industrial/Industrial/Industrial,21,500104
801901001,1,BARCELONA,2023-01-13,Industrial/Industrial/Industrial,21,428873
801901001,1,BARCELONA,2023-01-14,Industrial/Industrial/Industrial,21,277063
801901001,1,BARCELONA,2023-01-15,Industrial/Industrial/Industrial,21,429460
801901001,1,BARCELONA,2023-01-16,Industrial/Industrial/Industrial,21,544469
801901001,1,BARCELONA,2023-01-17,Industrial/Industrial/Industrial,21,416603
801901001,1,BARCELONA,2023-01-18,Industrial/Industrial/Industrial,21,422706
801901001,1,BARCELONA,2023-01-19,Industrial/Industrial/Industrial,21,457443
801901001,1,BARCELONA,2023-01-20,Industrial/Industrial/Industrial,21,410449
801901001,1,BARCELONA,2023-01-21,Industrial/Industrial/Industrial,21,416069
801901001,1,BARCELONA,2023-01-22,Industrial/Industrial/Industrial,21,434997
801901001,1,BARCELONA,2023-01-23,Industrial/Industrial/Industrial,21,715568
801901001,1,BARCELONA,2023-01-24,Industrial/Industrial/Industrial,21,474361
