Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
<NULL>,>,BARCELONA,2023-01-01,Comercial/Comercial/Commercial,256,14371
<NULL>,>,BARCELONA,2023-01-02,Comercial/Comercial/Commercial,256,19655
<NULL>,>,BARCELONA,2023-01-03,Comercial/Comercial/Commercial,257,20441
<NULL>,>,BARCELONA,2023-01-04,Comercial/Comercial/Commercial,258,23010
<NULL>,>,BARCELONA,2023-01-05,Comercial/Comercial/Commercial,259,20203
<NULL>,>,BARCELONA,2023-01-06,Comercial/Comercial/Commercial,259,17149
<NULL>,>,BARCELONA,2023-01-07,Comercial/Comercial/Commercial,259,18126
<NULL>,>,BARCELONA,2023-01-08,Comercial/Comercial/Commercial,259,14576
<NULL>,>,BARCELONA,2023-01-09,Comercial/Comercial/Commercial,259,21476
<NULL>,>,BARCELONA,2023-01-10,Comercial/Comercial/Commercial,259,22085
<NULL>,>,BARCELONA,2023-01-11,Comercial/Comercial/Commercial,260,23927
<NULL>,>,BARCELONA,2023-01-12,Comercial/Comercial/Commercial,260,23750
<NULL>,>,BARCELONA,2023-01-13,Comercial/Comercial/Commercial,260,22809
<NULL>,>,BARCELONA,2023-01-14,Comercial/Comercial/Commercial,260,20128
<NULL>,>,BARCELONA,2023-01-15,Comercial/Comercial/Commercial,260,17025
<NULL>,>,BARCELONA,2023-01-16,Comercial/Comercial/Commercial,260,23441
<NULL>,>,BARCELONA,2023-01-17,Comercial/Comercial/Commercial,260,22433
<NULL>,>,BARCELONA,2023-01-18,Comercial/Comercial/Commercial,261,26724
<NULL>,>,BARCELONA,2023-01-19,Comercial/Comercial/Commercial,261,24176
<NULL>,>,BARCELONA,2023-01-20,Comercial/Comercial/Commercial,261,26770
<NULL>,>,BARCELONA,2023-01-21,Comercial/Comercial/Commercial,261,20481
<NULL>,>,BARCELONA,2023-01-22,Comercial/Comercial/Commercial,261,21010
<NULL>,>,BARCELONA,2023-01-23,Comercial/Comercial/Commercial,261,23597
<NULL>,>,BARCELONA,2023-01-24,Comercial/Comercial/Commercial,261,21692
<NULL>,>,BARCELONA,2023-01-25,Comercial/Comercial/Commercial,262,27409
<NULL>,>,BARCELONA,2023-01-26,Comercial/Comercial/Commercial,262,28065
<NULL>,>,BARCELONA,2023-01-27,Comercial/Comercial/Commercial,262,28056
<NULL>,>,BARCELONA,2023-01-28,Comercial/Comercial/Commercial,262,34915
<NULL>,>,BARCELONA,2023-01-29,Comercial/Comercial/Commercial,262,21518
<NULL>,>,BARCELONA,2023-01-30,Comercial/Comercial/Commercial,262,25993
<NULL>,>,BARCELONA,2023-01-31,Comercial/Comercial/Commercial,262,24249
<NULL>,>,BARCELONA,2023-02-01,Comercial/Comercial/Commercial,262,27244
<NULL>,>,BARCELONA,2023-02-02,Comercial/Comercial/Commercial,262,29327
<NULL>,>,BARCELONA,2023-02-03,Comercial/Comercial/Commercial,262,31583
<NULL>,>,BARCELONA,2023-02-04,Comercial/Comercial/Commercial,262,31019
<NULL>,>,BARCELONA,2023-02-05,Comercial/Comercial/Commercial,262,21236
<NULL>,>,BARCELONA,2023-02-06,Comercial/Comercial/Commercial,268,24941
<NULL>,>,BARCELONA,2023-02-07,Comercial/Comercial/Commercial,269,23671
<NULL>,>,BARCELONA,2023-02-08,Comercial/Comercial/Commercial,270,27554
<NULL>,>,BARCELONA,2023-02-09,Comercial/Comercial/Commercial,270,29459
<NULL>,>,BARCELONA,2023-02-10,Comercial/Comercial/Commercial,270,26710
<NULL>,>,BARCELONA,2023-02-11,Comercial/Comercial/Commercial,270,26844
<NULL>,>,BARCELONA,2023-02-12,Comercial/Comercial/Commercial,270,22745
<NULL>,>,BARCELONA,2023-02-13,Comercial/Comercial/Commercial,270,22987
<NULL>,>,BARCELONA,2023-02-14,Comercial/Comercial/Commercial,270,23140
<NULL>,>,BARCELONA,2023-02-15,Comercial/Comercial/Commercial,271,26223
<NULL>,>,BARCELONA,2023-02-16,Comercial/Comercial/Commercial,272,28896
<NULL>,>,BARCELONA,2023-02-17,Comercial/Comercial/Commercial,272,29156
<NULL>,>,BARCELONA,2023-02-18,Comercial/Comercial/Commercial,272,27668
<NULL>,>,BARCELONA,2023-02-19,Comercial/Comercial/Commercial,272,22115
<NULL>,>,BARCELONA,2023-02-20,Comercial/Comercial/Commercial,273,24783
<NULL>,>,BARCELONA,2023-02-21,Comercial/Comercial/Commercial,273,25448
<NULL>,>,BARCELONA,2023-02-22,Comercial/Comercial/Commercial,273,28210
<NULL>,>,BARCELONA,2023-02-23,Comercial/Comercial/Commercial,273,28969
<NULL>,>,BARCELONA,2023-02-24,Comercial/Comercial/Commercial,277,31126
<NULL>,>,BARCELONA,2023-02-25,Comercial/Comercial/Commercial,278,28364
<NULL>,>,BARCELONA,2023-02-26,Comercial/Comercial/Commercial,278,24374
<NULL>,>,BARCELONA,2023-02-27,Comercial/Comercial/Commercial,278,23274
<NULL>,>,BARCELONA,2023-02-28,Comercial/Comercial/Commercial,278,23387
<NULL>,>,BARCELONA,2023-03-01,Comercial/Comercial/Commercial,280,27824
<NULL>,>,BARCELONA,2023-03-02,Comercial/Comercial/Commercial,280,30528
<NULL>,>,BARCELONA,2023-03-03,Comercial/Comercial/Commercial,280,28434
<NULL>,>,BARCELONA,2023-03-04,Comercial/Comercial/Commercial,280,25943
<NULL>,>,BARCELONA,2023-03-05,Comercial/Comercial/Commercial,280,22874
<NULL>,>,BARCELONA,2023-03-06,Comercial/Comercial/Commercial,280,25991
<NULL>,>,BARCELONA,2023-03-07,Comercial/Comercial/Commercial,280,26809
<NULL>,>,BARCELONA,2023-03-08,Comercial/Comercial/Commercial,280,29505
<NULL>,>,BARCELONA,2023-03-09,Comercial/Comercial/Commercial,280,28520
<NULL>,>,BARCELONA,2023-03-10,Comercial/Comercial/Commercial,281,28664
<NULL>,>,BARCELONA,2023-03-11,Comercial/Comercial/Commercial,281,25954
<NULL>,>,BARCELONA,2023-03-12,Comercial/Comercial/Commercial,281,23142
<NULL>,>,BARCELONA,2023-03-13,Comercial/Comercial/Commercial,281,25160
<NULL>,>,BARCELONA,2023-03-14,Comercial/Comercial/Commercial,282,26462
<NULL>,>,BARCELONA,2023-03-15,Comercial/Comercial/Commercial,282,31071
<NULL>,>,BARCELONA,2023-03-16,Comercial/Comercial/Commercial,282,30254
<NULL>,>,BARCELONA,2023-03-17,Comercial/Comercial/Commercial,282,29744
<NULL>,>,BARCELONA,2023-03-18,Comercial/Comercial/Commercial,282,25265
<NULL>,>,BARCELONA,2023-03-19,Comercial/Comercial/Commercial,282,25990
