Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801905002,5,BARCELONA,2023-01-01 00:00:00,Commercial,7,665
801905002,5,BARCELONA,2023-01-02 00:00:00,Commercial,7,1092
801905002,5,BARCELONA,2023-01-03 00:00:00,Commercial,7,639
801905002,5,BARCELONA,2023-01-04 00:00:00,Commercial,7,935
801905002,5,BARCELONA,2023-01-05 00:00:00,Commercial,7,971
801905002,5,BARCELONA,2023-01-06 00:00:00,Commercial,7,833
801905002,5,BARCELONA,2023-01-07 00:00:00,Commercial,7,1024
801905002,5,BARCELONA,2023-01-08 00:00:00,Commercial,7,1200
801905002,5,BARCELONA,2023-01-09 00:00:00,Commercial,7,1724
801905002,5,BARCELONA,2023-01-10 00:00:00,Commercial,7,1078
801905002,5,BARCELONA,2023-01-11 00:00:00,Commercial,7,934
801905002,5,BARCELONA,2023-01-12 00:00:00,Commercial,7,834
801905002,5,BARCELONA,2023-01-13 00:00:00,Commercial,7,1193
801905002,5,BARCELONA,2023-01-14 00:00:00,Commercial,7,870
801905002,5,BARCELONA,2023-01-15 00:00:00,Commercial,7,1226
801905002,5,BARCELONA,2023-01-16 00:00:00,Commercial,7,1446
801905002,5,BARCELONA,2023-01-17 00:00:00,Commercial,7,889
801905002,5,BARCELONA,2023-01-18 00:00:00,Commercial,7,1024
801905002,5,BARCELONA,2023-01-19 00:00:00,Commercial,7,1038
801905002,5,BARCELONA,2023-01-20 00:00:00,Commercial,7,961
801905002,5,BARCELONA,2023-01-21 00:00:00,Commercial,7,1064
801905002,5,BARCELONA,2023-01-22 00:00:00,Commercial,7,1350
801905002,5,BARCELONA,2023-01-23 00:00:00,Commercial,7,1098
801905002,5,BARCELONA,2023-01-24 00:00:00,Commercial,7,2574
801905002,5,BARCELONA,2023-01-25 00:00:00,Commercial,7,3438
801905002,5,BARCELONA,2023-01-26 00:00:00,Commercial,7,854
801905002,5,BARCELONA,2023-01-27 00:00:00,Commercial,7,864
801905002,5,BARCELONA,2023-01-28 00:00:00,Commercial,7,701
801905002,5,BARCELONA,2023-01-29 00:00:00,Commercial,7,816
801905002,5,BARCELONA,2023-01-30 00:00:00,Commercial,7,907
801905002,5,BARCELONA,2023-01-31 00:00:00,Commercial,7,1020
801905002,5,BARCELONA,2023-02-01 00:00:00,Commercial,7,815
801905002,5,BARCELONA,2023-02-02 00:00:00,Commercial,7,828
801905002,5,BARCELONA,2023-02-03 00:00:00,Commercial,7,769
801905002,5,BARCELONA,2023-02-04 00:00:00,Commercial,7,561
801905002,5,BARCELONA,2023-02-05 00:00:00,Commercial,7,675
801905002,5,BARCELONA,2023-02-06 00:00:00,Commercial,7,750
801905002,5,BARCELONA,2023-02-07 00:00:00,Commercial,7,1154
801905002,5,BARCELONA,2023-02-08 00:00:00,Commercial,7,844
801905002,5,BARCELONA,2023-02-09 00:00:00,Commercial,7,878
801905002,5,BARCELONA,2023-02-10 00:00:00,Commercial,7,658
801905002,5,BARCELONA,2023-02-11 00:00:00,Commercial,7,392
801905002,5,BARCELONA,2023-02-12 00:00:00,Commercial,7,527
