Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801908001,8,BARCELONA,2023-01-01 00:00:00,Domestic,451,5910
801908001,8,BARCELONA,2023-01-02 00:00:00,Domestic,451,6026
801908001,8,BARCELONA,2023-01-03 00:00:00,Domestic,451,5807
801908001,8,BARCELONA,2023-01-04 00:00:00,Domestic,451,5933
801908001,8,BARCELONA,2023-01-05 00:00:00,Domestic,451,6411
801908001,8,BARCELONA,2023-01-06 00:00:00,Domestic,451,6589
801908001,8,BARCELONA,2023-01-07 00:00:00,Domestic,450,6256
801908001,8,BARCELONA,2023-01-08 00:00:00,Domestic,450,6570
801908001,8,BARCELONA,2023-01-09 00:00:00,Domestic,450,6122
801908001,8,BARCELONA,2023-01-10 00:00:00,Domestic,450,6094
801908001,8,BARCELONA,2023-01-11 00:00:00,Domestic,451,6044
801908001,8,BARCELONA,2023-01-12 00:00:00,Domestic,451,6321
801908001,8,BARCELONA,2023-01-13 00:00:00,Domestic,451,5836
801908001,8,BARCELONA,2023-01-14 00:00:00,Domestic,451,6872
801908001,8,BARCELONA,2023-01-15 00:00:00,Domestic,451,6508
801908001,8,BARCELONA,2023-01-16 00:00:00,Domestic,451,6349
801908001,8,BARCELONA,2023-01-17 00:00:00,Domestic,452,6251
801908001,8,BARCELONA,2023-01-18 00:00:00,Domestic,452,6021
801908001,8,BARCELONA,2023-01-19 00:00:00,Domestic,452,6302
801908001,8,BARCELONA,2023-01-20 00:00:00,Domestic,452,6367
801908001,8,BARCELONA,2023-01-21 00:00:00,Domestic,451,7065
801908001,8,BARCELONA,2023-01-22 00:00:00,Domestic,451,6790
801908001,8,BARCELONA,2023-01-23 00:00:00,Domestic,451,6331
801908001,8,BARCELONA,2023-01-24 00:00:00,Domestic,446,5758
801908001,8,BARCELONA,2023-01-25 00:00:00,Domestic,438,6269
801908001,8,BARCELONA,2023-01-26 00:00:00,Domestic,433,6185
801908001,8,BARCELONA,2023-01-27 00:00:00,Domestic,433,6139
801908001,8,BARCELONA,2023-01-28 00:00:00,Domestic,433,6557
801908001,8,BARCELONA,2023-01-29 00:00:00,Domestic,433,6756
801908001,8,BARCELONA,2023-01-30 00:00:00,Domestic,433,6334
801908001,8,BARCELONA,2023-01-31 00:00:00,Domestic,433,6313
801908001,8,BARCELONA,2023-02-01 00:00:00,Domestic,433,6118
801908001,8,BARCELONA,2023-02-02 00:00:00,Domestic,433,6078
801908001,8,BARCELONA,2023-02-03 00:00:00,Domestic,433,5691
801908001,8,BARCELONA,2023-02-04 00:00:00,Domestic,433,6206
801908001,8,BARCELONA,2023-02-05 00:00:00,Domestic,433,6753
801908001,8,BARCELONA,2023-02-06 00:00:00,Domestic,433,5771
801908001,8,BARCELONA,2023-02-07 00:00:00,Domestic,433,5687
801908001,8,BARCELONA,2023-02-08 00:00:00,Domestic,433,5964
801908001,8,BARCELONA,2023-02-09 00:00:00,Domestic,433,6055
801908001,8,BARCELONA,2023-02-10 00:00:00,Domestic,433,5414
801908001,8,BARCELONA,2023-02-11 00:00:00,Domestic,433,5999
801908001,8,BARCELONA,2023-02-12 00:00:00,Domestic,433,6476
801908001,8,BARCELONA,2023-02-13 00:00:00,Domestic,433,5931
801908001,8,BARCELONA,2023-02-14 00:00:00,Domestic,433,5989
801908001,8,BARCELONA,2023-02-15 00:00:00,Domestic,433,6179
801908001,8,BARCELONA,2023-02-16 00:00:00,Domestic,433,5896
801908001,8,BARCELONA,2023-02-17 00:00:00,Domestic,433,5775
801908001,8,BARCELONA,2023-02-18 00:00:00,Domestic,433,6490
801908001,8,BARCELONA,2023-02-19 00:00:00,Domestic,433,6101
801908001,8,BARCELONA,2023-02-20 00:00:00,Domestic,433,6292
801908001,8,BARCELONA,2023-02-21 00:00:00,Domestic,433,6027
801908001,8,BARCELONA,2023-02-22 00:00:00,Domestic,433,5797
801908001,8,BARCELONA,2023-02-23 00:00:00,Domestic,433,5789
801908001,8,BARCELONA,2023-02-24 00:00:00,Domestic,433,5802
801908001,8,BARCELONA,2023-02-25 00:00:00,Domestic,433,6228
801908001,8,BARCELONA,2023-02-26 00:00:00,Domestic,433,6332
801908001,8,BARCELONA,2023-02-27 00:00:00,Domestic,433,5725
801908001,8,BARCELONA,2023-02-28 00:00:00,Domestic,433,6058
801908001,8,BARCELONA,2023-03-01 00:00:00,Domestic,433,6116
801908001,8,BARCELONA,2023-03-02 00:00:00,Domestic,433,6043
801908001,8,BARCELONA,2023-03-03 00:00:00,Domestic,433,5830
801908001,8,BARCELONA,2023-03-04 00:00:00,Domestic,433,6221
801908001,8,BARCELONA,2023-03-05 00:00:00,Domestic,433,6999
801908001,8,BARCELONA,2023-03-06 00:00:00,Domestic,433,5833
801908001,8,BARCELONA,2023-03-07 00:00:00,Domestic,433,5778
801908001,8,BARCELONA,2023-03-08 00:00:00,Domestic,433,5990
801908001,8,BARCELONA,2023-03-09 00:00:00,Domestic,433,5753
801908001,8,BARCELONA,2023-03-10 00:00:00,Domestic,433,5908
801908001,8,BARCELONA,2023-03-11 00:00:00,Domestic,433,6305
801908001,8,BARCELONA,2023-03-12 00:00:00,Domestic,433,6280
801908001,8,BARCELONA,2023-03-13 00:00:00,Domestic,433,6025
801908001,8,BARCELONA,2023-03-14 00:00:00,Domestic,433,5877
801908001,8,BARCELONA,2023-03-15 00:00:00,Domestic,433,5696
801908001,8,BARCELONA,2023-03-16 00:00:00,Domestic,433,5924
801908001,8,BARCELONA,2023-03-17 00:00:00,Domestic,433,5356
801908001,8,BARCELONA,2023-03-18 00:00:00,Domestic,433,5552
801908001,8,BARCELONA,2023-03-19 00:00:00,Domestic,433,6110
801908001,8,BARCELONA,2023-03-20 00:00:00,Domestic,433,6613
801908001,8,BARCELONA,2023-03-21 00:00:00,Domestic,433,5829
801908001,8,BARCELONA,2023-03-22 00:00:00,Domestic,433,6104
801908001,8,BARCELONA,2023-03-23 00:00:00,Domestic,433,6048
801908001,8,BARCELONA,2023-03-24 00:00:00,Domestic,433,5531
801908001,8,BARCELONA,2023-03-25 00:00:00,Domestic,433,5987
801908001,8,BARCELONA,2023-03-26 00:00:00,Domestic,433,5946
801908001,8,BARCELONA,2023-03-27 00:00:00,Domestic,433,5946
801908001,8,BARCELONA,2023-03-28 00:00:00,Domestic,433,5622
801908001,8,BARCELONA,2023-03-29 00:00:00,Domestic,433,6148
801908001,8,BARCELONA,2023-03-30 00:00:00,Domestic,433,5862
801908001,8,BARCELONA,2023-03-31 00:00:00,Domestic,433,5400
801908001,8,BARCELONA,2023-04-01 00:00:00,Domestic,433,5584
801908001,8,BARCELONA,2023-04-02 00:00:00,Domestic,433,6050
801908001,8,BARCELONA,2023-04-03 00:00:00,Domestic,433,5025
801908001,8,BARCELONA,2023-04-04 00:00:00,Domestic,433,5479
801908001,8,BARCELONA,2023-04-05 00:00:00,Domestic,433,5222
801908001,8,BARCELONA,2023-04-06 00:00:00,Domestic,433,4919
801908001,8,BARCELONA,2023-04-07 00:00:00,Domestic,433,4331
801908001,8,BARCELONA,2023-04-08 00:00:00,Domestic,433,4704
801908001,8,BARCELONA,2023-04-09 00:00:00,Domestic,433,5087
801908001,8,BARCELONA,2023-04-10 00:00:00,Domestic,433,5650
801908001,8,BARCELONA,2023-04-11 00:00:00,Domestic,433,5523
801908001,8,BARCELONA,2023-04-12 00:00:00,Domestic,433,5748
801908001,8,BARCELONA,2023-04-13 00:00:00,Domestic,433,5913
801908001,8,BARCELONA,2023-04-14 00:00:00,Domestic,433,5464
801908001,8,BARCELONA,2023-04-15 00:00:00,Domestic,433,6208
801908001,8,BARCELONA,2023-04-16 00:00:00,Domestic,433,6040
801908001,8,BARCELONA,2023-04-17 00:00:00,Domestic,433,5730
801908001,8,BARCELONA,2023-04-18 00:00:00,Domestic,433,5484
801908001,8,BARCELONA,2023-04-19 00:00:00,Domestic,433,5439
801908001,8,BARCELONA,2023-04-20 00:00:00,Domestic,433,6041
801908001,8,BARCELONA,2023-04-21 00:00:00,Domestic,433,5464
801908001,8,BARCELONA,2023-04-22 00:00:00,Domestic,433,5592
801908001,8,BARCELONA,2023-04-23 00:00:00,Domestic,433,5656
801908001,8,BARCELONA,2023-04-24 00:00:00,Domestic,433,5545
801908001,8,BARCELONA,2023-04-25 00:00:00,Domestic,433,5607
801908001,8,BARCELONA,2023-04-26 00:00:00,Domestic,433,5891
801908001,8,BARCELONA,2023-04-27 00:00:00,Domestic,453,6270
801908001,8,BARCELONA,2023-04-28 00:00:00,Domestic,453,6127
801908001,8,BARCELONA,2023-04-29 00:00:00,Domestic,453,5703
801908001,8,BARCELONA,2023-04-30 00:00:00,Domestic,453,5720
801908001,8,BARCELONA,2023-05-01 00:00:00,Domestic,453,5825
801908001,8,BARCELONA,2023-05-02 00:00:00,Domestic,453,5871
801908001,8,BARCELONA,2023-05-03 00:00:00,Domestic,453,5846
801908001,8,BARCELONA,2023-05-04 00:00:00,Domestic,453,6267
801908001,8,BARCELONA,2023-05-05 00:00:00,Domestic,453,5618
801908001,8,BARCELONA,2023-05-06 00:00:00,Domestic,453,5975
801908001,8,BARCELONA,2023-05-07 00:00:00,Domestic,453,6298
801908001,8,BARCELONA,2023-05-08 00:00:00,Domestic,453,5826
801908001,8,BARCELONA,2023-05-09 00:00:00,Domestic,453,5600
801908001,8,BARCELONA,2023-05-10 00:00:00,Domestic,453,5600
801908001,8,BARCELONA,2023-05-11 00:00:00,Domestic,453,5749
801908001,8,BARCELONA,2023-05-12 00:00:00,Domestic,453,5613
801908001,8,BARCELONA,2023-05-13 00:00:00,Domestic,453,5806
801908001,8,BARCELONA,2023-05-14 00:00:00,Domestic,453,5984
801908001,8,BARCELONA,2023-05-15 00:00:00,Domestic,453,5376
801908001,8,BARCELONA,2023-05-16 00:00:00,Domestic,453,5741
801908001,8,BARCELONA,2023-05-17 00:00:00,Domestic,453,6303
801908001,8,BARCELONA,2023-05-18 00:00:00,Domestic,453,5861
801908001,8,BARCELONA,2023-05-19 00:00:00,Domestic,453,5613
801908001,8,BARCELONA,2023-05-20 00:00:00,Domestic,453,6048
801908001,8,BARCELONA,2023-05-21 00:00:00,Domestic,453,6028
801908001,8,BARCELONA,2023-05-22 00:00:00,Domestic,453,5626
801908001,8,BARCELONA,2023-05-23 00:00:00,Domestic,453,5536
801908001,8,BARCELONA,2023-05-24 00:00:00,Domestic,453,6078
801908001,8,BARCELONA,2023-05-25 00:00:00,Domestic,453,5652
801908001,8,BARCELONA,2023-05-26 00:00:00,Domestic,453,6084
801908001,8,BARCELONA,2023-05-27 00:00:00,Domestic,453,6239
801908001,8,BARCELONA,2023-05-28 00:00:00,Domestic,453,6384
801908001,8,BARCELONA,2023-05-29 00:00:00,Domestic,453,6117
801908001,8,BARCELONA,2023-05-30 00:00:00,Domestic,453,6157
801908001,8,BARCELONA,2023-05-31 00:00:00,Domestic,453,5848
801908001,8,BARCELONA,2023-06-01 00:00:00,Domestic,453,6179
801908001,8,BARCELONA,2023-06-02 00:00:00,Domestic,453,5818
801908001,8,BARCELONA,2023-06-03 00:00:00,Domestic,453,5550
801908001,8,BARCELONA,2023-06-04 00:00:00,Domestic,453,5374
801908001,8,BARCELONA,2023-06-05 00:00:00,Domestic,454,6367
801908001,8,BARCELONA,2023-06-06 00:00:00,Domestic,454,6644
801908001,8,BARCELONA,2023-06-07 00:00:00,Domestic,456,6436
801908001,8,BARCELONA,2023-06-08 00:00:00,Domestic,458,5957
801908001,8,BARCELONA,2023-06-09 00:00:00,Domestic,458,5887
801908001,8,BARCELONA,2023-06-10 00:00:00,Domestic,458,5696
801908001,8,BARCELONA,2023-06-11 00:00:00,Domestic,458,6192
801908001,8,BARCELONA,2023-06-12 00:00:00,Domestic,458,6203
801908001,8,BARCELONA,2023-06-13 00:00:00,Domestic,459,5893
