Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801910001,10,BARCELONA,2023-01-01,Comercial/Comercial/Commercial,41,3197
801910001,10,BARCELONA,2023-01-02,Comercial/Comercial/Commercial,41,3889
801910001,10,BARCELONA,2023-01-03,Comercial/Comercial/Commercial,41,4019
801910001,10,BARCELONA,2023-01-04,Comercial/Comercial/Commercial,41,3954
801910001,10,BARCELONA,2023-01-05,Comercial/Comercial/Commercial,41,4656
801910001,10,BARCELONA,2023-01-06,Comercial/Comercial/Commercial,41,3307
801910001,10,BARCELONA,2023-01-07,Comercial/Comercial/Commercial,41,3079
801910001,10,BARCELONA,2023-01-08,Comercial/Comercial/Commercial,41,1973
801910001,10,BARCELONA,2023-01-09,Comercial/Comercial/Commercial,41,3190
801910001,10,BARCELONA,2023-01-10,Comercial/Comercial/Commercial,41,12808
801910001,10,BARCELONA,2023-01-11,Comercial/Comercial/Commercial,41,13079
801910001,10,BARCELONA,2023-01-12,Comercial/Comercial/Commercial,41,4773
801910001,10,BARCELONA,2023-01-13,Comercial/Comercial/Commercial,41,3236
801910001,10,BARCELONA,2023-01-14,Comercial/Comercial/Commercial,41,3961
801910001,10,BARCELONA,2023-01-15,Comercial/Comercial/Commercial,41,2519
801910001,10,BARCELONA,2023-01-16,Comercial/Comercial/Commercial,41,3699
801910001,10,BARCELONA,2023-01-17,Comercial/Comercial/Commercial,41,3798
801910001,10,BARCELONA,2023-01-18,Comercial/Comercial/Commercial,41,3784
801910001,10,BARCELONA,2023-01-19,Comercial/Comercial/Commercial,41,3292
801910001,10,BARCELONA,2023-01-20,Comercial/Comercial/Commercial,41,3442
801910001,10,BARCELONA,2023-01-21,Comercial/Comercial/Commercial,41,3290
801910001,10,BARCELONA,2023-01-22,Comercial/Comercial/Commercial,41,1888
801910001,10,BARCELONA,2023-01-23,Comercial/Comercial/Commercial,41,3280
801910001,10,BARCELONA,2023-01-24,Comercial/Comercial/Commercial,41,2830
801910001,10,BARCELONA,2023-01-25,Comercial/Comercial/Commercial,41,3652
801910001,10,BARCELONA,2023-01-26,Comercial/Comercial/Commercial,41,3125
801910001,10,BARCELONA,2023-01-27,Comercial/Comercial/Commercial,41,4863
801910001,10,BARCELONA,2023-01-28,Comercial/Comercial/Commercial,41,3210
801910001,10,BARCELONA,2023-01-29,Comercial/Comercial/Commercial,41,3863
801910001,10,BARCELONA,2023-01-30,Comercial/Comercial/Commercial,41,3208
801910001,10,BARCELONA,2023-01-31,Comercial/Comercial/Commercial,41,3474
801910001,10,BARCELONA,2023-02-01,Comercial/Comercial/Commercial,41,3420
801910001,10,BARCELONA,2023-02-02,Comercial/Comercial/Commercial,41,4166
801910001,10,BARCELONA,2023-02-03,Comercial/Comercial/Commercial,41,7029
801910001,10,BARCELONA,2023-02-04,Comercial/Comercial/Commercial,41,3529
801910001,10,BARCELONA,2023-02-05,Comercial/Comercial/Commercial,41,2748
801910001,10,BARCELONA,2023-02-06,Comercial/Comercial/Commercial,41,4011
801910001,10,BARCELONA,2023-02-07,Comercial/Comercial/Commercial,41,3216
801910001,10,BARCELONA,2023-02-08,Comercial/Comercial/Commercial,41,3194
801910001,10,BARCELONA,2023-02-09,Comercial/Comercial/Commercial,41,3321
801910001,10,BARCELONA,2023-02-10,Comercial/Comercial/Commercial,41,3836
801910001,10,BARCELONA,2023-02-11,Comercial/Comercial/Commercial,41,5528
801910001,10,BARCELONA,2023-02-12,Comercial/Comercial/Commercial,41,2473
801910001,10,BARCELONA,2023-02-13,Comercial/Comercial/Commercial,41,3823
801910001,10,BARCELONA,2023-02-14,Comercial/Comercial/Commercial,41,2977
801910001,10,BARCELONA,2023-02-15,Comercial/Comercial/Commercial,41,3935
801910001,10,BARCELONA,2023-02-16,Comercial/Comercial/Commercial,41,3093
801910001,10,BARCELONA,2023-02-17,Comercial/Comercial/Commercial,41,4236
801910001,10,BARCELONA,2023-02-18,Comercial/Comercial/Commercial,42,3748
801910001,10,BARCELONA,2023-02-19,Comercial/Comercial/Commercial,42,3347
801910001,10,BARCELONA,2023-02-20,Comercial/Comercial/Commercial,42,4387
801910001,10,BARCELONA,2023-02-21,Comercial/Comercial/Commercial,42,4264
801910001,10,BARCELONA,2023-02-22,Comercial/Comercial/Commercial,42,5040
801910001,10,BARCELONA,2023-02-23,Comercial/Comercial/Commercial,42,4319
801910001,10,BARCELONA,2023-02-24,Comercial/Comercial/Commercial,42,4124
801910001,10,BARCELONA,2023-02-25,Comercial/Comercial/Commercial,42,4194
801910001,10,BARCELONA,2023-02-26,Comercial/Comercial/Commercial,42,3155
801910001,10,BARCELONA,2023-02-27,Comercial/Comercial/Commercial,42,4439
801910001,10,BARCELONA,2023-02-28,Comercial/Comercial/Commercial,42,3354
801910001,10,BARCELONA,2023-03-01,Comercial/Comercial/Commercial,42,4510
801910001,10,BARCELONA,2023-03-02,Comercial/Comercial/Commercial,43,4010
801910001,10,BARCELONA,2023-03-03,Comercial/Comercial/Commercial,43,4441
801910001,10,BARCELONA,2023-03-04,Comercial/Comercial/Commercial,43,4337
801910001,10,BARCELONA,2023-03-05,Comercial/Comercial/Commercial,43,3281
801910001,10,BARCELONA,2023-03-06,Comercial/Comercial/Commercial,43,3928
801910001,10,BARCELONA,2023-03-07,Comercial/Comercial/Commercial,43,5274
801910001,10,BARCELONA,2023-03-08,Comercial/Comercial/Commercial,43,4714
801910001,10,BARCELONA,2023-03-09,Comercial/Comercial/Commercial,44,3956
801910001,10,BARCELONA,2023-03-10,Comercial/Comercial/Commercial,44,4766
801910001,10,BARCELONA,2023-03-11,Comercial/Comercial/Commercial,44,3739
801910001,10,BARCELONA,2023-03-12,Comercial/Comercial/Commercial,44,3158
801910001,10,BARCELONA,2023-03-13,Comercial/Comercial/Commercial,44,4414
