Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801907001,7,BARCELONA,2023-01-01,Domèstic/Doméstico/Domestic,519,10536
801907001,7,BARCELONA,2023-01-02,Domèstic/Doméstico/Domestic,519,9561
801907001,7,BARCELONA,2023-01-03,Domèstic/Doméstico/Domestic,519,9423
801907001,7,BARCELONA,2023-01-04,Domèstic/Doméstico/Domestic,519,9588
801907001,7,BARCELONA,2023-01-05,Domèstic/Doméstico/Domestic,519,10507
801907001,7,BARCELONA,2023-01-06,Domèstic/Doméstico/Domestic,523,9391
801907001,7,BARCELONA,2023-01-07,Domèstic/Doméstico/Domestic,523,9056
801907001,7,BARCELONA,2023-01-08,Domèstic/Doméstico/Domestic,523,10258
801907001,7,BARCELONA,2023-01-09,Domèstic/Doméstico/Domestic,523,11714
801907001,7,BARCELONA,2023-01-10,Domèstic/Doméstico/Domestic,523,10550
801907001,7,BARCELONA,2023-01-11,Domèstic/Doméstico/Domestic,525,10077
801907001,7,BARCELONA,2023-01-12,Domèstic/Doméstico/Domestic,525,9378
801907001,7,BARCELONA,2023-01-13,Domèstic/Doméstico/Domestic,525,8356
801907001,7,BARCELONA,2023-01-14,Domèstic/Doméstico/Domestic,525,9994
801907001,7,BARCELONA,2023-01-15,Domèstic/Doméstico/Domestic,525,10449
801907001,7,BARCELONA,2023-01-16,Domèstic/Doméstico/Domestic,525,10014
801907001,7,BARCELONA,2023-01-17,Domèstic/Doméstico/Domestic,525,9310
801907001,7,BARCELONA,2023-01-18,Domèstic/Doméstico/Domestic,525,9618
801907001,7,BARCELONA,2023-01-19,Domèstic/Doméstico/Domestic,525,10029
801907001,7,BARCELONA,2023-01-20,Domèstic/Doméstico/Domestic,525,9684
801907001,7,BARCELONA,2023-01-21,Domèstic/Doméstico/Domestic,525,10625
801907001,7,BARCELONA,2023-01-22,Domèstic/Doméstico/Domestic,525,9941
801907001,7,BARCELONA,2023-01-23,Domèstic/Doméstico/Domestic,525,10245
801907001,7,BARCELONA,2023-01-24,Domèstic/Doméstico/Domestic,525,8911
801907001,7,BARCELONA,2023-01-25,Domèstic/Doméstico/Domestic,525,10004
801907001,7,BARCELONA,2023-01-26,Domèstic/Doméstico/Domestic,525,12588
801907001,7,BARCELONA,2023-01-27,Domèstic/Doméstico/Domestic,525,9064
801907001,7,BARCELONA,2023-01-28,Domèstic/Doméstico/Domestic,525,8561
801907001,7,BARCELONA,2023-01-29,Domèstic/Doméstico/Domestic,525,11174
801907001,7,BARCELONA,2023-01-30,Domèstic/Doméstico/Domestic,525,9754
801907001,7,BARCELONA,2023-01-31,Domèstic/Doméstico/Domestic,525,9322
801907001,7,BARCELONA,2023-02-01,Domèstic/Doméstico/Domestic,542,9399
801907001,7,BARCELONA,2023-02-02,Domèstic/Doméstico/Domestic,542,9940
801907001,7,BARCELONA,2023-02-03,Domèstic/Doméstico/Domestic,542,8540
801907001,7,BARCELONA,2023-02-04,Domèstic/Doméstico/Domestic,542,10125
801907001,7,BARCELONA,2023-02-05,Domèstic/Doméstico/Domestic,542,9889
801907001,7,BARCELONA,2023-02-06,Domèstic/Doméstico/Domestic,543,9434
801907001,7,BARCELONA,2023-02-07,Domèstic/Doméstico/Domestic,543,9041
801907001,7,BARCELONA,2023-02-08,Domèstic/Doméstico/Domestic,546,9335
801907001,7,BARCELONA,2023-02-09,Domèstic/Doméstico/Domestic,546,9377
801907001,7,BARCELONA,2023-02-10,Domèstic/Doméstico/Domestic,546,9467
801907001,7,BARCELONA,2023-02-11,Domèstic/Doméstico/Domestic,546,9253
801907001,7,BARCELONA,2023-02-12,Domèstic/Doméstico/Domestic,546,13454
801907001,7,BARCELONA,2023-02-13,Domèstic/Doméstico/Domestic,545,9317
801907001,7,BARCELONA,2023-02-14,Domèstic/Doméstico/Domestic,572,12526
801907001,7,BARCELONA,2023-02-15,Domèstic/Doméstico/Domestic,572,8927
801907001,7,BARCELONA,2023-02-16,Domèstic/Doméstico/Domestic,572,9857
801907001,7,BARCELONA,2023-02-17,Domèstic/Doméstico/Domestic,572,10108
801907001,7,BARCELONA,2023-02-18,Domèstic/Doméstico/Domestic,572,9755
801907001,7,BARCELONA,2023-02-19,Domèstic/Doméstico/Domestic,572,9457
801907001,7,BARCELONA,2023-02-20,Domèstic/Doméstico/Domestic,572,10011
801907001,7,BARCELONA,2023-02-21,Domèstic/Doméstico/Domestic,572,9224
801907001,7,BARCELONA,2023-02-22,Domèstic/Doméstico/Domestic,587,9672
801907001,7,BARCELONA,2023-02-23,Domèstic/Doméstico/Domestic,591,9098
801907001,7,BARCELONA,2023-02-24,Domèstic/Doméstico/Domestic,592,9231
801907001,7,BARCELONA,2023-02-25,Domèstic/Doméstico/Domestic,592,8845
801907001,7,BARCELONA,2023-02-26,Domèstic/Doméstico/Domestic,592,10701
801907001,7,BARCELONA,2023-02-27,Domèstic/Doméstico/Domestic,592,10423
801907001,7,BARCELONA,2023-02-28,Domèstic/Doméstico/Domestic,592,8972
801907001,7,BARCELONA,2023-03-01,Domèstic/Doméstico/Domestic,592,10173
801907001,7,BARCELONA,2023-03-02,Domèstic/Doméstico/Domestic,592,9418
801907001,7,BARCELONA,2023-03-03,Domèstic/Doméstico/Domestic,592,8850
801907001,7,BARCELONA,2023-03-04,Domèstic/Doméstico/Domestic,592,9103
801907001,7,BARCELONA,2023-03-05,Domèstic/Doméstico/Domestic,592,9968
801907001,7,BARCELONA,2023-03-06,Domèstic/Doméstico/Domestic,592,9854
801907001,7,BARCELONA,2023-03-07,Domèstic/Doméstico/Domestic,592,8764
801907001,7,BARCELONA,2023-03-08,Domèstic/Doméstico/Domestic,592,9627
801907001,7,BARCELONA,2023-03-09,Domèstic/Doméstico/Domestic,592,9580
801907001,7,BARCELONA,2023-03-10,Domèstic/Doméstico/Domestic,597,10004
801907001,7,BARCELONA,2023-03-11,Domèstic/Doméstico/Domestic,603,12177
801907001,7,BARCELONA,2023-03-12,Domèstic/Doméstico/Domestic,603,14146
801907001,7,BARCELONA,2023-03-13,Domèstic/Doméstico/Domestic,603,11989
801907001,7,BARCELONA,2023-03-14,Domèstic/Doméstico/Domestic,603,12337
801907001,7,BARCELONA,2023-03-15,Domèstic/Doméstico/Domestic,603,12965
801907001,7,BARCELONA,2023-03-16,Domèstic/Doméstico/Domestic,603,12277
801907001,7,BARCELONA,2023-03-17,Domèstic/Doméstico/Domestic,603,12119
801907001,7,BARCELONA,2023-03-18,Domèstic/Doméstico/Domestic,603,13079
801907001,7,BARCELONA,2023-03-19,Domèstic/Doméstico/Domestic,603,13376
801907001,7,BARCELONA,2023-03-20,Domèstic/Doméstico/Domestic,603,13257
801907001,7,BARCELONA,2023-03-21,Domèstic/Doméstico/Domestic,603,12329
801907001,7,BARCELONA,2023-03-22,Domèstic/Doméstico/Domestic,603,12390
801907001,7,BARCELONA,2023-03-23,Domèstic/Doméstico/Domestic,603,11580
801907001,7,BARCELONA,2023-03-24,Domèstic/Doméstico/Domestic,603,11888
801907001,7,BARCELONA,2023-03-25,Domèstic/Doméstico/Domestic,603,13844
801907001,7,BARCELONA,2023-03-26,Domèstic/Doméstico/Domestic,603,12536
801907001,7,BARCELONA,2023-03-27,Domèstic/Doméstico/Domestic,603,13401
801907001,7,BARCELONA,2023-03-28,Domèstic/Doméstico/Domestic,603,11849
801907001,7,BARCELONA,2023-03-29,Domèstic/Doméstico/Domestic,605,12405
