Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
801907001,7,BARCELONA,2023-06-28,Industrial/Industrial/Industrial,2,33238
801907001,7,BARCELONA,2023-06-29,Industrial/Industrial/Industrial,2,34989
801907001,7,BARCELONA,2023-06-30,Industrial/Industrial/Industrial,2,36556
801907001,7,BARCELONA,2023-07-01,Industrial/Industrial/Industrial,2,31307
801907001,7,BARCELONA,2023-07-02,Industrial/Industrial/Industrial,2,30371
801907001,7,BARCELONA,2023-07-03,Industrial/Industrial/Industrial,2,34787
801907001,7,BARCELONA,2023-07-04,Industrial/Industrial/Industrial,2,32289
801907001,7,BARCELONA,2023-07-05,Industrial/Industrial/Industrial,2,33930
801907001,7,BARCELONA,2023-07-06,Industrial/Industrial/Industrial,2,32282
801907001,7,BARCELONA,2023-07-07,Industrial/Industrial/Industrial,2,38883
801907001,7,BARCELONA,2023-07-08,Industrial/Industrial/Industrial,2,33913
801907001,7,BARCELONA,2023-07-09,Industrial/Industrial/Industrial,2,33540
801907001,7,BARCELONA,2023-07-10,Industrial/Industrial/Industrial,2,34765
801907001,7,BARCELONA,2023-07-11,Industrial/Industrial/Industrial,2,34385
801907001,7,BARCELONA,2023-07-12,Industrial/Industrial/Industrial,2,34543
801907001,7,BARCELONA,2023-07-13,Industrial/Industrial/Industrial,2,35713
801907001,7,BARCELONA,2023-07-14,Industrial/Industrial/Industrial,2,70589
801907001,7,BARCELONA,2023-07-15,Industrial/Industrial/Industrial,2,151847
801907001,7,BARCELONA,2023-07-16,Industrial/Industrial/Industrial,2,147865
801907001,7,BARCELONA,2023-07-17,Industrial/Industrial/Industrial,2,84384
801907001,7,BARCELONA,2023-07-18,Industrial/Industrial/Industrial,2,35651
801907001,7,BARCELONA,2023-07-19,Industrial/Industrial/Industrial,2,34629
801907001,7,BARCELONA,2023-07-20,Industrial/Industrial/Industrial,2,35382
801907001,7,BARCELONA,2023-07-21,Industrial/Industrial/Industrial,2,39194
801907001,7,BARCELONA,2023-07-22,Industrial/Industrial/Industrial,2,36193
801907001,7,BARCELONA,2023-07-23,Industrial/Industrial/Industrial,2,33363
801907001,7,BARCELONA,2023-07-24,Industrial/Industrial/Industrial,2,35265
801907001,7,BARCELONA,2023-07-25,Industrial/Industrial/Industrial,2,36492
801907001,7,BARCELONA,2023-07-26,Industrial/Industrial/Industrial,2,33489
801907001,7,BARCELONA,2023-07-27,Industrial/Industrial/Industrial,2,38223
801907001,7,BARCELONA,2023-07-28,Industrial/Industrial/Industrial,2,43371
801907001,7,BARCELONA,2023-07-29,Industrial/Industrial/Industrial,2,36379
801907001,7,BARCELONA,2023-07-30,Industrial/Industrial/Industrial,2,34539
801907001,7,BARCELONA,2023-07-31,Industrial/Industrial/Industrial,2,41192
