Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
<NULL>,>,BARCELONA,2023-01-01,Domèstic/Doméstico/Domestic,2192,59171
<NULL>,>,BARCELONA,2023-01-02,Domèstic/Doméstico/Domestic,2193,68559
<NULL>,>,BARCELONA,2023-01-03,Domèstic/Doméstico/Domestic,2195,67353
<NULL>,>,BARCELONA,2023-01-04,Domèstic/Doméstico/Domestic,2202,68461
<NULL>,>,BARCELONA,2023-01-05,Domèstic/Doméstico/Domestic,2203,75113
<NULL>,>,BARCELONA,2023-01-06,Domèstic/Doméstico/Domestic,2203,74303
<NULL>,>,BARCELONA,2023-01-07,Domèstic/Doméstico/Domestic,2203,65707
<NULL>,>,BARCELONA,2023-01-08,Domèstic/Doméstico/Domestic,2203,72910
<NULL>,>,BARCELONA,2023-01-09,Domèstic/Doméstico/Domestic,2203,72910
<NULL>,>,BARCELONA,2023-01-10,Domèstic/Doméstico/Domestic,2203,74032
<NULL>,>,BARCELONA,2023-01-11,Domèstic/Doméstico/Domestic,2210,74290
<NULL>,>,BARCELONA,2023-01-12,Domèstic/Doméstico/Domestic,2211,69552
<NULL>,>,BARCELONA,2023-01-13,Domèstic/Doméstico/Domestic,2212,71906
<NULL>,>,BARCELONA,2023-01-14,Domèstic/Doméstico/Domestic,2213,74649
<NULL>,>,BARCELONA,2023-01-15,Domèstic/Doméstico/Domestic,2213,77948
<NULL>,>,BARCELONA,2023-01-16,Domèstic/Doméstico/Domestic,2213,68721
<NULL>,>,BARCELONA,2023-01-17,Domèstic/Doméstico/Domestic,2213,71974
<NULL>,>,BARCELONA,2023-01-18,Domèstic/Doméstico/Domestic,2213,72939
<NULL>,>,BARCELONA,2023-01-19,Domèstic/Doméstico/Domestic,2216,71730
<NULL>,>,BARCELONA,2023-01-20,Domèstic/Doméstico/Domestic,2216,74619
<NULL>,>,BARCELONA,2023-01-21,Domèstic/Doméstico/Domestic,2219,71343
<NULL>,>,BARCELONA,2023-01-22,Domèstic/Doméstico/Domestic,2219,74943
<NULL>,>,BARCELONA,2023-01-23,Domèstic/Doméstico/Domestic,2219,73582
<NULL>,>,BARCELONA,2023-01-24,Domèstic/Doméstico/Domestic,2219,69888
<NULL>,>,BARCELONA,2023-01-25,Domèstic/Doméstico/Domestic,2221,73834
<NULL>,>,BARCELONA,2023-01-26,Domèstic/Doméstico/Domestic,2221,73482
<NULL>,>,BARCELONA,2023-01-27,Domèstic/Doméstico/Domestic,2221,72956
<NULL>,>,BARCELONA,2023-01-28,Domèstic/Doméstico/Domestic,2221,67563
<NULL>,>,BARCELONA,2023-01-29,Domèstic/Doméstico/Domestic,2221,79869
<NULL>,>,BARCELONA,2023-01-30,Domèstic/Doméstico/Domestic,2221,77649
<NULL>,>,BARCELONA,2023-01-31,Domèstic/Doméstico/Domestic,2221,72917
<NULL>,>,BARCELONA,2023-02-01,Domèstic/Doméstico/Domestic,2221,76291
<NULL>,>,BARCELONA,2023-02-02,Domèstic/Doméstico/Domestic,2221,77852
<NULL>,>,BARCELONA,2023-02-03,Domèstic/Doméstico/Domestic,2222,73826
<NULL>,>,BARCELONA,2023-02-04,Domèstic/Doméstico/Domestic,2222,75164
<NULL>,>,BARCELONA,2023-02-05,Domèstic/Doméstico/Domestic,2221,74798
<NULL>,>,BARCELONA,2023-02-06,Domèstic/Doméstico/Domestic,2275,74469
<NULL>,>,BARCELONA,2023-02-07,Domèstic/Doméstico/Domestic,2287,71730
<NULL>,>,BARCELONA,2023-02-08,Domèstic/Doméstico/Domestic,2295,77995
<NULL>,>,BARCELONA,2023-02-09,Domèstic/Doméstico/Domestic,2296,78434
<NULL>,>,BARCELONA,2023-02-10,Domèstic/Doméstico/Domestic,2296,79650
<NULL>,>,BARCELONA,2023-02-11,Domèstic/Doméstico/Domestic,2296,71473
<NULL>,>,BARCELONA,2023-02-12,Domèstic/Doméstico/Domestic,2296,74738
<NULL>,>,BARCELONA,2023-02-13,Domèstic/Doméstico/Domestic,2294,77168
<NULL>,>,BARCELONA,2023-02-14,Domèstic/Doméstico/Domestic,2297,74020
<NULL>,>,BARCELONA,2023-02-15,Domèstic/Doméstico/Domestic,2300,76414
<NULL>,>,BARCELONA,2023-02-16,Domèstic/Doméstico/Domestic,2308,76303
<NULL>,>,BARCELONA,2023-02-17,Domèstic/Doméstico/Domestic,2311,75580
<NULL>,>,BARCELONA,2023-02-18,Domèstic/Doméstico/Domestic,2314,74071
<NULL>,>,BARCELONA,2023-02-19,Domèstic/Doméstico/Domestic,2313,74330
<NULL>,>,BARCELONA,2023-02-20,Domèstic/Doméstico/Domestic,2313,77039
<NULL>,>,BARCELONA,2023-02-21,Domèstic/Doméstico/Domestic,2315,74379
<NULL>,>,BARCELONA,2023-02-22,Domèstic/Doméstico/Domestic,2316,72521
<NULL>,>,BARCELONA,2023-02-23,Domèstic/Doméstico/Domestic,2345,70574
<NULL>,>,BARCELONA,2023-02-24,Domèstic/Doméstico/Domestic,2345,73645
<NULL>,>,BARCELONA,2023-02-25,Domèstic/Doméstico/Domestic,2348,70734
<NULL>,>,BARCELONA,2023-02-26,Domèstic/Doméstico/Domestic,2347,76559
<NULL>,>,BARCELONA,2023-02-27,Domèstic/Doméstico/Domestic,2347,71615
<NULL>,>,BARCELONA,2023-02-28,Domèstic/Doméstico/Domestic,2347,73963
<NULL>,>,BARCELONA,2023-03-01,Domèstic/Doméstico/Domestic,2347,85271
<NULL>,>,BARCELONA,2023-03-02,Domèstic/Doméstico/Domestic,2347,73936
<NULL>,>,BARCELONA,2023-03-03,Domèstic/Doméstico/Domestic,2347,78007
<NULL>,>,BARCELONA,2023-03-04,Domèstic/Doméstico/Domestic,2346,75700
<NULL>,>,BARCELONA,2023-03-05,Domèstic/Doméstico/Domestic,2345,74769
<NULL>,>,BARCELONA,2023-03-06,Domèstic/Doméstico/Domestic,2345,76664
<NULL>,>,BARCELONA,2023-03-07,Domèstic/Doméstico/Domestic,2345,79006
<NULL>,>,BARCELONA,2023-03-08,Domèstic/Doméstico/Domestic,2345,80270
<NULL>,>,BARCELONA,2023-03-09,Domèstic/Doméstico/Domestic,2345,76982
<NULL>,>,BARCELONA,2023-03-10,Domèstic/Doméstico/Domestic,2349,74956
<NULL>,>,BARCELONA,2023-03-11,Domèstic/Doméstico/Domestic,2348,68047
