Seccio_censal,Districte,Municipi,Data,Tipus_us,Numero_de_comptadors,Consum_litres_per_dia
<NULL>,>,BARCELONA,2023-01-01,Industrial/Industrial/Industrial,191,218543
<NULL>,>,BARCELONA,2023-01-02,Industrial/Industrial/Industrial,191,292861
<NULL>,>,BARCELONA,2023-01-03,Industrial/Industrial/Industrial,191,266768
<NULL>,>,BARCELONA,2023-01-04,Industrial/Industrial/Industrial,191,296506
<NULL>,>,BARCELONA,2023-01-05,Industrial/Industrial/Industrial,191,308289
<NULL>,>,BARCELONA,2023-01-06,Industrial/Industrial/Industrial,191,259601
<NULL>,>,BARCELONA,2023-01-07,Industrial/Industrial/Industrial,191,255837
<NULL>,>,BARCELONA,2023-01-08,Industrial/Industrial/Industrial,191,261923
<NULL>,>,BARCELONA,2023-01-09,Industrial/Industrial/Industrial,191,304231
<NULL>,>,BARCELONA,2023-01-10,Industrial/Industrial/Industrial,191,278513
<NULL>,>,BARCELONA,2023-01-11,Industrial/Industrial/Industrial,191,295940
<NULL>,>,BARCELONA,2023-01-12,Industrial/Industrial/Industrial,191,300158
<NULL>,>,BARCELONA,2023-01-13,Industrial/Industrial/Industrial,191,308765
<NULL>,>,BARCELONA,2023-01-14,Industrial/Industrial/Industrial,191,242984
<NULL>,>,BARCELONA,2023-01-15,Industrial/Industrial/Industrial,191,210837
<NULL>,>,BARCELONA,2023-01-16,Industrial/Industrial/Industrial,191,376945
<NULL>,>,BARCELONA,2023-01-17,Industrial/Industrial/Industrial,191,577501
<NULL>,>,BARCELONA,2023-01-18,Industrial/Industrial/Industrial,191,366905
<NULL>,>,BARCELONA,2023-01-19,Industrial/Industrial/Industrial,192,332006
<NULL>,>,BARCELONA,2023-01-20,Industrial/Industrial/Industrial,194,338787
<NULL>,>,BARCELONA,2023-01-21,Industrial/Industrial/Industrial,194,266822
<NULL>,>,BARCELONA,2023-01-22,Industrial/Industrial/Industrial,194,279824
<NULL>,>,BARCELONA,2023-01-23,Industrial/Industrial/Industrial,194,333941
<NULL>,>,BARCELONA,2023-01-24,Industrial/Industrial/Industrial,194,306342
<NULL>,>,BARCELONA,2023-01-25,Industrial/Industrial/Industrial,194,327259
<NULL>,>,BARCELONA,2023-01-26,Industrial/Industrial/Industrial,194,316328
<NULL>,>,BARCELONA,2023-01-27,Industrial/Industrial/Industrial,194,321406
<NULL>,>,BARCELONA,2023-01-28,Industrial/Industrial/Industrial,194,271302
<NULL>,>,BARCELONA,2023-01-29,Industrial/Industrial/Industrial,194,232052
<NULL>,>,BARCELONA,2023-01-30,Industrial/Industrial/Industrial,194,299374
<NULL>,>,BARCELONA,2023-01-31,Industrial/Industrial/Industrial,194,295666
<NULL>,>,BARCELONA,2023-02-01,Industrial/Industrial/Industrial,194,303297
<NULL>,>,BARCELONA,2023-02-02,Industrial/Industrial/Industrial,194,315889
<NULL>,>,BARCELONA,2023-02-03,Industrial/Industrial/Industrial,194,334050
<NULL>,>,BARCELONA,2023-02-04,Industrial/Industrial/Industrial,194,269910
<NULL>,>,BARCELONA,2023-02-05,Industrial/Industrial/Industrial,194,263785
<NULL>,>,BARCELONA,2023-02-06,Industrial/Industrial/Industrial,207,318119
<NULL>,>,BARCELONA,2023-02-07,Industrial/Industrial/Industrial,209,312727
<NULL>,>,BARCELONA,2023-02-08,Industrial/Industrial/Industrial,209,411432
<NULL>,>,BARCELONA,2023-02-09,Industrial/Industrial/Industrial,209,398517
<NULL>,>,BARCELONA,2023-02-10,Industrial/Industrial/Industrial,210,416278
<NULL>,>,BARCELONA,2023-02-11,Industrial/Industrial/Industrial,214,275057
<NULL>,>,BARCELONA,2023-02-12,Industrial/Industrial/Industrial,214,257138
<NULL>,>,BARCELONA,2023-02-13,Industrial/Industrial/Industrial,214,357052
